# center_x	center_y	half_width	half_height
13350	90625	450	625
450	6875	450	625
9150	149375	450	625
13350	144375	450	625
13950	61875	450	625
13350	28125	450	625
13350	101875	450	625
12450	90625	450	625
2850	6875	450	625
13350	111875	450	625
13350	115625	450	625
13350	126875	450	625
13350	65625	450	625
11250	149375	450	625
13350	19375	450	625
13650	109375	450	625
13350	89375	450	625
3750	6875	450	625
13350	14375	450	625
13350	120625	450	625
9150	35625	450	625
13650	103125	450	625
11550	19375	450	625
13650	143125	450	625
13650	33125	450	625
12450	19375	450	625
13650	70625	450	625
13650	31875	450	625
13650	29375	450	625
13650	123125	450	625
12750	103125	450	625
10350	26875	450	625
13650	3125	450	625
13650	16875	450	625
7650	79375	450	625
13650	125625	450	625
13650	50625	450	625
13650	53125	450	625
11850	86875	450	625
14250	89375	450	625
11250	40625	450	625
13650	60625	450	625
13650	94375	450	625
13950	36875	450	625
13950	64375	450	625
13950	140625	450	625
13950	18125	450	625
13950	130625	450	625
13950	66875	450	625
13950	131875	450	625
13950	34375	450	625
13950	39375	450	625
13950	141875	450	625
8550	79375	450	625
8550	18125	450	625
13050	64375	450	625
13950	41875	450	625
13950	56875	450	625
11250	26875	450	625
14250	90625	450	625
10950	94375	450	625
13950	139375	450	625
14250	115625	450	625
11550	144375	450	625
10350	79375	450	625
14850	39375	450	625
13950	95625	450	625
8250	146875	450	625
10950	56875	450	625
13950	91875	450	625
14550	33125	450	625
13950	74375	450	625
13950	119375	450	625
12150	26875	450	625
16650	36875	450	625
14250	93125	450	625
14250	68125	450	625
14250	10625	450	625
14250	101875	450	625
6150	101875	450	625
14250	84375	450	625
14250	65625	450	625
11550	146875	450	625
14250	51875	450	625
11550	18125	450	625
13050	56875	450	625
14250	116875	450	625
14250	13125	450	625
14250	54375	450	625
15150	51875	450	625
14550	103125	450	625
14250	45625	450	625
14250	44375	450	625
12450	146875	450	625
13050	74375	450	625
14250	104375	450	625
14250	11875	450	625
14250	59375	450	625
10650	140625	450	625
14550	128125	450	625
14550	70625	450	625
7050	101875	450	625
14550	55625	450	625
14550	29375	450	625
14550	73125	450	625
14550	146875	450	625
7950	101875	450	625
14550	109375	450	625
14550	100625	450	625
14550	143125	450	625
14550	108125	450	625
14550	144375	450	625
14550	40625	450	625
13350	93125	450	625
14550	125625	450	625
14550	6875	450	625
13950	26875	450	625
9450	66875	450	625
14850	91875	450	625
11850	94375	450	625
11850	143125	450	625
13650	100625	450	625
9150	125625	450	625
14850	50625	450	625
14850	114375	450	625
14850	64375	450	625
13950	114375	450	625
14850	83125	450	625
14850	123125	450	625
10050	125625	450	625
14850	58125	450	625
14850	138125	450	625
15750	58125	450	625
12150	40625	450	625
14850	23125	450	625
14850	134375	450	625
10950	29375	450	625
14850	126875	450	625
14850	38125	450	625
15150	11875	450	625
17250	29375	450	625
14850	9375	450	625
15150	68125	450	625
13950	138125	450	625
15450	100625	450	625
16350	29375	450	625
14850	36875	450	625
15750	36875	450	625
15450	125625	450	625
15150	625	450	625
15150	35625	450	625
5850	6875	450	625
15150	31875	450	625
13950	38125	450	625
15150	49375	450	625
15150	44375	450	625
13950	23125	450	625
15150	78125	450	625
15150	93125	450	625
13050	83125	450	625
15150	113125	450	625
15150	105625	450	625
15750	38125	450	625
11550	35625	450	625
13350	105625	450	625
6150	70625	450	625
15150	74375	450	625
15150	124375	450	625
15150	135625	450	625
15150	104375	450	625
15150	34375	450	625
15150	76875	450	625
12150	34375	450	625
12750	123125	450	625
15150	133125	450	625
15150	88125	450	625
15150	79375	450	625
15450	29375	450	625
15450	15625	450	625
15450	85625	450	625
12450	76875	450	625
15450	21875	450	625
15450	56875	450	625
15450	141875	450	625
13050	34375	450	625
15450	86875	450	625
15450	129375	450	625
15450	28125	450	625
