# center_x	center_y	half_width	half_height
59974	31067	450	625
15764	120787	450	625
367610	98536	450	625
20130	99278	450	625
339390	146978	450	625
146143	72236	450	625
125550	67687	450	625
437231	39880	450	625
318285	94579	450	625
49567	1125	450	625
197427	144368	450	625
377822	55412	450	625
384546	141376	450	625
36037	9383	450	625
335592	86715	450	625
153092	49692	450	625
391783	3334	450	625
390231	149570	450	625
170670	110686	450	625
354600	31337	450	625
352316	104168	450	625
404273	22244	450	625
388907	108681	450	625
365224	18718	450	625
233713	99268	450	625
136943	132365	450	625
142636	142842	450	625
453677	97060	450	625
375218	1391	450	625
171395	149236	450	625
318306	150212	450	625
212880	56414	450	625
78698	135788	450	625
139836	100045	450	625
119975	148861	450	625
344782	125816	450	625
80330	7232	450	625
56660	118914	450	625
260914	133062	450	625
282932	91452	450	625
422030	8000	450	625
32269	97644	450	625
62494	33271	450	625
219704	56738	450	625
103514	145776	450	625
255026	45645	450	625
300940	20683	450	625
238412	143564	450	625
198871	2073	450	625
193009	102871	450	625
415335	74917	450	625
355140	25642	450	625
414701	70777	450	625
92756	120940	450	625
419039	132714	450	625
276744	136095	450	625
359566	130238	450	625
76091	136186	450	625
358961	122472	450	625
423776	42800	450	625
272248	14679	450	625
448298	35313	450	625
274562	35135	450	625
59329	42358	450	625
150108	44164	450	625
356282	111020	450	625
354133	67947	450	625
188962	45859	450	625
229724	53496	450	625
93452	114841	450	625
221410	145573	450	625
138836	20953	450	625
243212	106352	450	625
130891	133350	450	625
74724	44092	450	625
192503	118749	450	625
361323	109226	450	625
26662	17010	450	625
412661	105217	450	625
194469	104446	450	625
359833	49228	450	625
256067	113091	450	625
368675	52054	450	625
131802	28176	450	625
312102	92131	450	625
375017	64037	450	625
180805	15630	450	625
242343	62842	450	625
314134	86759	450	625
154044	123083	450	625
34404	66372	450	625
321184	34252	450	625
72498	17572	450	625
